epoch,loss
1,8.50094985961914
2,8.165811538696289
3,7.85137414932251
4,7.528378963470459
5,7.280835151672363
6,7.058406352996826
7,6.9210896492004395
8,6.758490085601807
9,6.602346897125244
10,6.475251197814941
11,6.371993541717529
12,6.197360992431641
13,6.14061975479126
14,5.992000102996826
15,5.897814750671387
16,5.852111339569092
17,5.786235809326172
18,5.7160186767578125
19,5.619711875915527
20,5.557809352874756
21,5.507139682769775
22,5.459228515625
23,5.403355598449707
24,5.320154190063477
25,5.266183853149414
26,5.187524795532227
27,5.1518964767456055
28,5.09579610824585
29,5.07158088684082
30,5.017912864685059
31,4.995638370513916
32,4.938783645629883
33,4.916263580322266
34,4.868114471435547
35,4.843708515167236
36,4.808322906494141
37,4.785363674163818
38,4.762569904327393
39,4.719168186187744
40,4.691500663757324
41,4.652746200561523
42,4.6398468017578125
43,4.626895904541016
44,4.592181205749512
45,4.5656208992004395
46,4.551164627075195
47,4.53471565246582
48,4.522972106933594
49,4.504110336303711
50,4.4520063400268555
51,4.462040901184082
52,4.450033664703369
53,4.425164222717285
54,4.418208122253418
55,4.398196220397949
56,4.374879360198975
57,4.346479415893555
58,4.345087051391602
59,4.323746204376221
60,4.287522315979004
61,4.279713153839111
62,4.273672103881836
63,4.259398460388184
64,4.267309188842773
65,4.241252422332764
66,4.234621524810791
67,4.21229887008667
68,4.191799163818359
69,4.196384429931641
70,4.1848554611206055
71,4.179017066955566
72,4.15932559967041
73,4.144770622253418
74,4.135031223297119
75,4.11633825302124
76,4.120989799499512
77,4.124425411224365
78,4.116336345672607
79,4.108096122741699
80,4.094803333282471
81,4.066272735595703
82,4.051877498626709
83,4.048638343811035
84,4.029301643371582
85,4.035826683044434
86,4.049294948577881
87,4.038274765014648
88,4.022243976593018
89,3.9921875
90,3.9821648597717285
91,3.9891653060913086
92,3.962949514389038
93,3.9744958877563477
94,3.952965021133423
95,3.9558186531066895
96,3.9626495838165283
97,3.975616455078125
98,3.943622589111328
99,3.94692325592041
100,3.942262887954712
101,3.9437172412872314
102,3.914599657058716
103,3.931676149368286
104,3.929182529449463
105,3.903533935546875
106,3.900620460510254
107,3.902107000350952
108,3.8932273387908936
109,3.905695915222168
110,3.8907673358917236
111,3.897087335586548
112,3.8670248985290527
113,3.888218879699707
114,3.863356113433838
115,3.8532626628875732
116,3.8712525367736816
117,3.8552041053771973
118,3.84536075592041
119,3.83504056930542
120,3.852687358856201
121,3.823240280151367
122,3.816366672515869
123,3.82380747795105
124,3.799405574798584
125,3.80490779876709
126,3.7871146202087402
127,3.7943613529205322
128,3.792452096939087
129,3.788477897644043
130,3.8309028148651123
131,3.821018695831299
132,3.824509620666504
133,3.816842555999756
134,3.8108084201812744
135,3.778947353363037
136,3.7797303199768066
137,3.7745418548583984
138,3.7809977531433105
139,3.787661552429199
140,3.7739486694335938
141,3.754983901977539
142,3.768103837966919
143,3.751018524169922
144,3.752763032913208
145,3.7502951622009277
146,3.732661485671997
147,3.7205138206481934
148,3.757620096206665
149,3.7603600025177
150,3.762284278869629
151,3.738429546356201
152,3.723935604095459
153,3.7118821144104004
154,3.7154688835144043
155,3.7421047687530518
156,3.7237486839294434
157,3.734744071960449
158,3.697418212890625
159,3.717250347137451
160,3.7324962615966797
161,3.777252197265625
162,3.7171759605407715
163,3.7306175231933594
164,3.7043206691741943
165,3.6896378993988037
166,3.688477039337158
167,3.708724021911621
168,3.687896728515625
169,3.689527988433838
170,3.6693034172058105
171,3.6716079711914062
172,3.6925418376922607
173,3.6897730827331543
174,3.666154623031616
175,3.6841275691986084
176,3.6637020111083984
177,3.6641879081726074
178,3.662321090698242
179,3.656935214996338
180,3.642390727996826
181,3.6517105102539062
182,3.656379222869873
183,3.6436853408813477
184,3.62252140045166
185,3.639476776123047
186,3.6411056518554688
187,3.635549783706665
188,3.6376895904541016
189,3.6200034618377686
190,3.649850845336914
191,3.635054349899292
192,3.6178321838378906
193,3.626004457473755
194,3.6222054958343506
195,3.6385555267333984
196,3.62204647064209
197,3.5946106910705566
198,3.6082353591918945
199,3.624863862991333
200,3.613028049468994
201,3.60577392578125
202,3.5792019367218018
203,3.583230972290039
204,3.596846103668213
205,3.586695671081543
206,3.604184865951538
207,3.6044459342956543
208,3.5801310539245605
209,3.5879132747650146
210,3.5792460441589355
211,3.563913583755493
212,3.5858635902404785
213,3.565800428390503
214,3.582942008972168
215,3.5715737342834473
216,3.5698137283325195
217,3.5642480850219727
218,3.575695753097534
219,3.56315279006958
220,3.5489227771759033
221,3.573936939239502
222,3.560818672180176
223,3.5626931190490723
224,3.550285577774048
225,3.5356943607330322
226,3.551300525665283
227,3.560692071914673
